新年,新年,xīnnián,new year,祝你新年快乐！,
新,新,xīn,new,,"sub-word of ""new year"""
年,年,nián,year,,"sub-word of ""new year"""
火锅,火鍋,huǒguō,hotpot,因为天气冷，所以北京人常吃火锅。,
火,火,huǒ,fire; heat,,"sub-word of ""hotpot"""
锅,鍋,guō,pot; pan,,"sub-word of ""hotpot"""
火,火,huǒ,fire; heat,火很大。,
锅,鍋,guō,pot; pan,锅里有汤。,
饭馆,飯館,fànguǎn,restaurant,我们去那家饭馆吃饭吧。,
饭,飯,fàn,meal; rice,,"sub-word of ""restaurant"""
馆,館,guǎn,establishment,,"sub-word of ""restaurant"""
因为,因為,yīnwèi,because,因为他感冒了，所以他没有来上课。,
因,因,yīn,cause; reason,,"sub-word of ""because"""
为,為,wèi,for,,"sub-word of ""because"""
所以,所以,suǒyǐ,so,因为银行排队的人多，所以他想明天再去换钱。,
所,所,suǒ,that which; place,,"sub-word of ""so"""
以,以,yǐ,with; by,,"sub-word of ""so"""
爱,愛,ài,to love,我爱吃中国菜。,
涮羊肉,涮羊肉,shuànyángròu,thin slices of mutton boiled in water,北京人就爱吃火锅，主要是涮羊肉，天气热的时候也吃。,
涮,涮,shuàn,to cook thin slices of meat in boiling water,,"sub-word of ""thin slices of mutton boiled in water"""
羊,羊,yáng,sheep,,"sub-word of ""thin slices of mutton boiled in water"""
肉,肉,ròu,meat,,"sub-word of ""thin slices of mutton boiled in water"""
羊肉,羊肉,yángròu,mutton,,"sub-word of ""thin slices of mutton boiled in water"""
涮,涮,shuàn,to cook thin slices of meat in boiling water,涮羊肉最好吃。,
羊,羊,yáng,sheep,这是山上的羊。,
肉,肉,ròu,meat,我不吃肉。,
热,熱,rè,hot,天气很热。,
开车,開車,kāichē,to drive a car,他每天开车上班。,
开,開,kāi,to drive; to operate,,"sub-word of ""to drive a car"""
车,車,chē,vehicle,,"sub-word of ""to drive a car"""
开,開,kāi,to drive; to operate,开门！,
郊区,郊區,jiāoqū,suburb; outskirts,我家在郊区。,
郊,郊,jiāo,suburbs,,"sub-word of ""suburb; outskirts"""
区,區,qū,district; area,,"sub-word of ""suburb; outskirts"""
或者,或者,huòzhě,or,我们去看电影或者听音乐会。,
或,或,huò,or,,"sub-word of ""or"""
者,者,zhě,one (person),,"sub-word of ""or"""
音乐会,音樂會,yīnyuèhuì,concert,你喜欢听音乐会吗？,
音,音,yīn,sound or tone,,"sub-word of ""concert"""
乐,樂,yuè,music,,"sub-word of ""concert"""
会,會,huì,meeting; event,,"sub-word of ""concert"""
音乐,音樂,yīnyuè,music,,"sub-word of ""concert"""
化妆,化妝,huàzhuāng,to put on makeup,她在化妆。,
化,化,huà,to change,,"sub-word of ""to put on makeup"""
妆,妝,zhuāng,makeup,,"sub-word of ""to put on makeup"""
化,化,huà,to change,化冰为水。,
妆,妝,zhuāng,makeup,化妆很漂亮。,
正式,正式,zhèngshì,formal,他穿得很正式。,
正,正,zhèng,proper; formal,,"sub-word of ""formal"""
式,式,shì,style; type,,"sub-word of ""formal"""
民乐,民樂,mínyuè,folk music,我喜欢听中国民乐。,
民,民,mín,people,,"sub-word of ""folk music"""
乐,樂,yuè,music,,"sub-word of ""folk music"""
西方,西方,xīfāng,the West; western,西方音乐很流行。,
西,西,xī,west,,"sub-word of ""the West; western"""
方,方,fāng,direction; side,,"sub-word of ""the West; western"""
西,西,xī,west,太阳从东边升起，在西边落下。,
民族,民族,mínzú,nation; nationality,中国是一个多民族的国家。,
民,民,mín,people,,"sub-word of ""nation; nationality"""
族,族,zú,ethnic group,,"sub-word of ""nation; nationality"""
乐器,樂器,yuèqì,musical instrument,他会很多乐器。,
乐,樂,yuè,music,,"sub-word of ""musical instrument"""
器,器,qì,utensil,,"sub-word of ""musical instrument"""
器,器,qì,utensil,乐器很贵。,
演奏,演奏,yǎnzòu,to perform (instrumental),她在台上演奏小提琴。,
演,演,yǎn,to perform,,"sub-word of ""to perform (instrumental)"""
奏,奏,zòu,to play (instrumental),,"sub-word of ""to perform (instrumental)"""
演,演,yǎn,to perform,她演得很好。,
奏,奏,zòu,to play (instrumental),她奏得很动听。,
习惯,習慣,xíguàn,to be accustomed to; habit,我习惯早起。,
习,習,xí,to study; to practice,,"sub-word of ""to be accustomed to; habit"""
惯,慣,guàn,accustomed; habit,,"sub-word of ""to be accustomed to; habit"""
乐曲,樂曲,yuèqǔ,musical composition,这是一首著名的乐曲。,
乐,樂,yuè,music,,"sub-word of ""musical composition"""
