1. 着 | Pt | zhe | indicating the continuous aspect | 说着, 笑着, 等着, 开着车, 带着花儿, 穿着旗袍
2. 送 | V | sòng | to take someone somewhere; to see someone off | 送我回家, 开着车送, 我们到医院, 送我们门外(边), 送到火车站
3. 被 | Prep | bèi | by (used to indicate the passive voice) | 被问, 被骂, 被访问, 被覆盖
4. 撞 | V | zhuàng | to knock; to collide | 被车撞, 撞车, 撞人
5. 伤 | V | shāng | to hurt; to wound | 被撞伤, 撞伤人
6. 第 | Pref | dì | for ordinal numbers | 第一, 第十二, 第二十五课, 第二医院
7. 检查 | V | jiǎnchá | to examine | 检查身体, 检查身体, 检查电脑, 检查汽车, 检查练习
8. 重 | A | zhòng | serious; heavy | 伤重, 伤不重, 衣服很重, 包裹不重, 工作不重
9. 完 | V | wán | to finish; to run out | 看完电影, 做完练习, 用完钱, 吃完饭
10. 马上 | Adv | mǎshàng | right away; immediately | 马上就来, 马上去, 马上看完, 马上出发
11. 胳膊 | N | gēbo | arm | 胳膊被撞伤, 胳膊疼
12. 腿 | N | tuǐ | leg | 撞伤腿, 腿有点儿疼
13. 骑 | V | qí | to ride | 骑马, 骑车
14. 自行车 | N | zìxíngchē | bicycle | 骑自行车, 买自行车, 骑着自行车回学院
15. 笑 | V | xiào | to laugh; to smile | 笑着, 笑着说, 别笑了, 喜欢笑, 大笑
16. 注意 | V | zhùyì | to pay attention to | 没有注意, 注意语法, 注意听, 注意看
17. 停 | V | tíng | to stop; to park | 停在路旁边, 停车, 停课
18. 医药费 | N | yīyàofèi | medical expenses | 交医药费
19. 以为 | V | yǐwéi | to think (with more subjectivity) | 我以为, 别以为, 都以为
20. 如果 | Conj | rúguǒ | if
