上班,上班,shàngbān,to go to work,我早上九点上班。I go to work at nine in the morning.,
下班,下班,xiàbān,to get off work,我下午五点下班。I get off work at five in the afternoon.,
星期六,星期六,xīngqīliù,Saturday,星期六我不上班。I don’t work on Saturday.,
星期天,星期天,xīngqītiān,Sunday,星期天我们去吃饭。We go out to eat on Sunday.,
晚上,晚上,wǎnshang,evening,晚上七点我在家。I’m home at seven in the evening.,
早上,早上,zǎoshang,morning,早上好！Good morning!,
下午,下午,xiàwǔ,afternoon,下午两点开会。Meeting at two in the afternoon.,
中午,中午,zhōngwǔ,noon,中午十二点吃饭。I eat lunch at noon.,
小时,小時,xiǎoshí,hour,我工作八个小时。I work eight hours.,
软件,軟件,ruǎnjiàn,software,我们做新的软件。We’re making new software.,
工程师,工程師,gōngchéngshī,engineer,他是软件工程师。He is a software engineer.,
新,新,xīn,new,我买了新电脑。I bought a new computer.,
创业公司,創業公司,chuàngyè gōngsī,startup,我在创业公司工作。I work at a startup.,
时间,時間,shíjiān,time,你有时间吗？Do you have time?,
医生,醫生,yīshēng,doctor,我没去医院。I didn’t go to the hospital.,
医院,醫院,yīyuàn,hospital,我去医院看医生。I go to the hospital to see a doctor.,
需要,需要,xūyào,to need,我需要水。I need water.,
等,等,děng,to wait,请等一下。Please wait a moment.,
针灸,針灸,zhēnjiǔ,acupuncture,我学过针灸。I have studied acupuncture.,
中医,中醫,zhōngyī,Chinese medicine,中医很好。Chinese medicine is very good.,
页,頁,yè,page,第二页。Page two.,
的,的,de,possessive particle,我的老师。My teacher.,
得,得,děi,must,我得工作。I must work.,
得,得,de,complement marker,你说得很快。You speak very fast.,
告诉,告訴,gàosu,to tell,请告诉我。Please tell me.,
睡,睡,shuì,to sleep,我睡得很好。I sleep well.,
说,說,shuō,to speak,她说中文说得很好。She speaks Chinese very well.,
穿,穿,chuān,to wear,她穿红衣服。She wears red clothes.,
一样,一樣,yīyàng,same,我们的衣服一样。Our clothes are the same.,
多,多,duō,many,人很多。There are many people.,
少,少,shǎo,few,人很少。There are few people.,
多少,多少,duōshao,how many,你的公司有多少人？How many people are in your company?,
汉堡,漢堡,hànbǎo,hamburger,我喜欢吃汉堡。I like to eat hamburgers.,
店,店,diàn,shop,这家店很好。This shop is good.,
得,得,děi,must,你得吃饭。You must eat.,
不用,不用,bú yòng,not need,你不用去。You don’t need to go.,
美元,美元,měiyuán,US dollar,我有一百美元。I have one hundred US dollars.,
刚,剛,gāng,just,我刚吃早饭。I just ate breakfast.,
刚刚,剛剛,gānggāng,just now,他刚刚走。He just left.,
从到,從到,cóng … dào …,from … to …,从北京到上海。From Beijing to Shanghai.,
房子,房子,fángzi,house,旧金山的房子非常贵。Houses in San Francisco are very expensive.,
第一次,第一次,dì yī cì,first time,这是我第一次来中国。This is my first time in China.,
过,過,guò,experiential aspect marker,我去过中国。I have been to China.,
学校,學校,xuéxiào,school,我在学校工作。I work at a school.,
员工,員工,yuángōng,employee,我是公司的员工。I’m an employee of the company.,
服务员,服務員,fúwùyuán,waiter/waitress,服务员很好。The waiter is nice.,
饭馆,飯館,fànguǎn,restaurant,我们去饭馆吃饭。Let’s go eat at a restaurant.,
多音字,多音字,duōyīnzì,polyphonic character,“数”是一个多音字。“Shu” is a polyphonic character.,
数,數,shǔ,to count,我会数一数。I’ll count.,
数,數,shù,number,这是一个数。This is a number.,
看一看,看一看,kàn yī kàn,take a look,你看一看。Have a look.,
看一下,看一下,kàn yīxià,take a look,看一下那个。Look at that.,
看看,看看,kànkan,look,你看看书。Take a look at the book.,
数一下,數一下,shǔ yīxià,count it,数一下钱。Count the money.,
数一数,數一數,shǔ yī shǔ,count,数一数苹果。Count the apples.,
数数,數數,shǔ shù,count,小孩学数数。The child is learning to count.,
林,林,Lín,a surname,林老师。Teacher Lin.,
娜,娜,Nà,a name,娜老师。Teacher Na.,
换,換,huàn,to exchange,我想换钱。I want to exchange money.,
块,塊,kuài,buck; piece,三块钱。Three bucks.,
毛,毛,máo,dime (0.1 yuan),一毛钱。Ten cents.,
旅行,旅行,lǚxíng,to travel,我喜欢旅行。I like to travel.,
玩,玩,wán,to have fun; to play,我们去玩吧。Let’s go have fun.,
住,住,zhù,to live,我住在北京。I live in Beijing.,
介绍,介紹,jièshào,to introduce,我介绍一下。Let me introduce (someone).,
