熟女,shúnǚ,stylish mature woman
刻薄,kèbó,unkind; harsh; mean
浴巾,yùjīn,bath towel
笨手笨脚,bènshǒu bènjiǎo,clumsy; awkward
邠,Bīn,Bin (ancient place name)
可不,kěbù,exactly; right
真,zhēn,true; real
送给,sònggěi,give as a present; send to
逼,bī,force; compel
教育,jiàoyù,education
教导,jiàodǎo,instruct; teach
不得了,bùdéliǎo,terrible; extremely; amazing
色魔,sèmó,sex fiend; pervert
图,tú,picture; map; plan
企图,qǐtú,attempt; try; intend
尝试,chángshì,try; attempt
啊,a,particle/exclamation
豆豉,dòuchǐ,fermented black beans
豆瓣酱,dòubànjiàng,doubanjiang; chili bean paste
炒蛋,chǎodàn,scrambled eggs
损,sǔn,decrease; damage
免费,miǎnfèi,free of charge
咏,yǒng,chant; eulogize
电荷,diànhè,electric charge
才,cái,talent; only then
彭丽媛,Péng Lìyuán,Peng Liyuan
沉鱼落雁,chén yú luò yàn,beauty that sinks fish and makes birds fall
醉翁之意不在酒,zuìwēng zhī yì bù zài jiǔ,the real intention is not in the wine
四季豆,sìjìdòu,green bean; string bean
周游,zhōuyóu,travel around
游泳,yóuyǒng,swim; swimming
波霸,bōbà,big boobs (slang)
胸大无脑,xiōng dà wú nǎo,bimbo (lit. big chest no brains)
枕头,zhěntou,pillow
琢,zhuó,carve; polish (jade)
想象,xiǎngxiàng,imagination; imagine
义,Yì,surname Yi; righteousness
控,kòng,control; accuse
屌丝,diǎosī,loser (internet slang)
吃饱了撑的,chī bǎo le chēng de,have nothing better to do (lit. stuffed from eating)
吃饱了饭撑的,chī bǎo le fàn chēng de,have nothing better to do
完,wán,finished; intact
星巴克,Xīngbākè,Starbucks
高考,gāokǎo,national college entrance exam
