茯苓,茯苓,fúlíng,poria; tuckahoe (medicinal fungus),,
孟,孟,Mèng,surname Meng,,
济南,濟南,Jǐnán,Jinan (capital of Shandong),,
乌鲁木齐市,烏魯木齊市,Wūlǔmùqí Shì,Urumqi (capital of Xinjiang),,
码农,碼農,mǎnóng,programmer (slang),,
的,的,de,possessive/attributive particle,,
秦始皇,秦始皇,Qín Shǐhuáng,Qin Shi Huang (first emperor of Qin),,
人,人,rén,person; people,,
蒙特利尔,蒙特利爾,Méngtèlì'ěr,Montreal,,
什么,什麼,shénme,what,,
不客气,不客氣,bú kèqi,you’re welcome; don’t mention it,,
星期,星期,xīngqī,week; weekday,,
电话号码,電話號碼,diànhuà hàomǎ,telephone number,,
医生,醫生,yīshēng,doctor,,
贤,賢,xián,virtuous; worthy,,
一下儿,一下兒,yíxiàr,a bit; for a moment,,
小妹妹,小妹妹,xiǎomèimei,little sister; young girl,,
颜,顏,Yán,surname Yan,,
潇,瀟,xiāo,deep and clear (literary); brisk,,
逸,逸,yì,ease; leisure; escape,,
推拉,推拉,tuīlā,push and pull,,
阿,阿,ā,prefix/particle used in names or address,,
好久不见,好久不見,hǎojiǔ bújiàn,long time no see,,
人民币,人民幣,rénmínbì,Renminbi (RMB),,
话,話,huà,speech; word; talk,,
去,去,qù,go,,
洛阳,洛陽,Luòyáng,Luoyang,,
肏,肏,cào,fuck (vulgar),,
痧子,痧子,shāzi,measles,,
苏,蘇,Sū,surname Su; also shorthand for Jiangsu,,
杨,楊,Yáng,surname Yang,,
琪,琪,Qí,fine jade; surname Qi,,
海洋,海洋,hǎiyáng,ocean; seas,,
洋,洋,yáng,ocean; foreign,,
斯蒂芬,斯蒂芬,Sīdìfēn,Stephen,,
瑞,瑞,ruì,auspicious; jade token; surname Rui,,
杨斌,楊斌,Yáng Bīn,Yang Bin (name),,
姚滨,姚濱,Yáo Bīn,Yao Bin (name),,
电影明星,電影明星,diànyǐng míngxīng,movie star,,
纯素食者,純素食者,chúnsùshízhě,vegan,,
中庸之道,中庸之道,zhōngyōng zhī dào,Doctrine of the Mean; middle way,,
毛泽东思想,毛澤東思想,Máo Zédōng Sīxiǎng,Mao Zedong Thought,,
数,數,shù,number; count,,
平,平,Píng,surname Ping,,
和,和,hé,gentle; harmonious; and,,
情变,情變,qíngbiàn,breakup; change in relationship,,
先,先,xiān,ancestor; former; first,,
崾岘,崾峴,yǎoxiàn,Yaoxian (place name),,
阴道炎,陰道炎,yīndàoyán,vaginitis,,
毛衣,毛衣,máoyī,sweater,,
