Chinese,Pinyin,English
大同区,Dàtóng Qū,"Datong District, Taipei"
中山区,Zhōngshān Qū,"Zhongshan District, Taipei"
西门町,Xīmén Dīng,"Ximending, Taipei"
信义区,Xìnyì Qū,"Xinyi District, Taipei"
大安区,Dà’ān Qū,"Da’an District, Taipei"
中正区,Zhōngzhèng Qū,"Zhongzheng District, Taipei"
迪化街,Díhuà Jiē,"Dihua Street, Taipei"
幸福堂,Xìngfú Táng,Taiwanese beverage chain Xing Fu Tang
石库门 / 石庫門,Shíkùmén,"Shikumen, traditional Shanghainese architectural style"
三弦,sānxián,three-stringed Chinese lute used in Pingtan
跑步,pǎobù,run; jog
鲜奶,xiānnǎi,fresh milk
宠物,chǒngwù,pet
过敏,guòmǐn,be allergic
雨伞,yǔsǎn,umbrella
杏仁,xìngrén,almond
汽水,qìshuǐ,sparkling water
食物,shíwù,food
拿,ná,take; hold
预订,yùdìng,reserve; book
全,quán,complete; whole
水,shuǐ,water
气泡,qìpào,air bubble
外卖,wàimài,takeout
堂食,tángshí,eat in
发票,fāpiào,invoice
预定,yùdìng,schedule; book
菠萝包,bōluóbāo,pineapple bun
凤梨酥,fènglísū,pineapple cake
攀岩,pānyán,rock climbing
叫,jiào,call; shout
晶晶,jīngjīng,sparkling; gleaming
汤,tāng,soup
超,chāo,exceed; surpass
高潮,gāocháo,high tide; climax
阴道,yīndào,vagina
阳具,yángjù,male genitals
断舍离,duànshělí,decluttering; minimalism
娌,lǐ,wife of a younger brother
欣,xīn,happy; joyful
臭豆腐,chòudòufu,stinky tofu
坐,zuò,sit; ride
豆浆,dòujiāng,soy milk
拉制,lāzhì,metal drawing process
粗,cū,coarse; rough
馄饨,húntun,wonton
大白菜,dàbáicài,Chinese cabbage
芥蓝,gàilán,Chinese broccoli
扫码,sǎomǎ,scan a code
酱,jiàng,sauce
