商场,shāngchǎng,shopping mall
洲,zhōu,continent; river island
声,shēng,sound; voice
户,hù,household; door
凯里,Kǎilǐ,Kaili City
荷花,héhuā,lotus flower
黄瓜,huánggua,cucumber
通心菜,tōngxīncài,water spinach
榕树,róngshù,banyan tree
潇湘,Xiāoxiāng,poetic name for Xiang River region
王老吉,Wánglǎojí,Wong Lo Kat (beverage brand)
开瓶器,kāipíngqì,bottle opener
中国美术馆,Zhōngguó Měishùguǎn,National Art Museum of China
甜菜,tiáncài,beet
红菜头,hóngcàitóu,beetroot
燕麦粥,yànmàizhōu,oatmeal porridge
椰奶,yēnǎi,coconut milk
蚝油,háoyóu,oyster sauce
粥,zhōu,congee
橙汁,chéngzhī,orange juice
华侨,huáqiáo,overseas Chinese
功夫,gōngfu,kung fu
厦门,Xiàmén,Xiamen
佛教徒,Fójiàotú,Buddhist
树叶,shùyè,leaves
玉,yù,jade
肖像,xiàoxiàng,portrait
行动电源,xíngdòngdiànyuán,power bank
牵牛花,qiānniúhuā,morning glory
喇叭花,lǎbahuā,morning glory
搅拌,jiǎobàn,stir; mix
带走,dàizǒu,take away
中南海,Zhōngnánhǎi,Zhongnanhai
鼓浪屿,Gǔlàngyǔ,Gulangyu Island
繁体,fántǐ,traditional Chinese characters
江山,jiāngshān,landscape; country
小皇帝,xiǎohuángdì,spoiled child
或者,huòzhě,or; perhaps
岭南文化,Lǐngnán wénhuà,Lingnan culture
羊肚菌,yángdùjùn,morel mushroom
围棋,wéiqí,Go game
负,fù,carry on the back
松树,sōngshù,pine tree
糖葫芦,tánghúlu,candied hawthorn
陈皮,chénpí,dried tangerine peel
橙皮,chéngpí,orange peel
园,yuán,garden
朴,pǔ,plain; simple
平遥,Píngyáo,Pingyao
庆,qìng,celebrate
