茯苓,fúlíng,poria; tuckahoe (medicinal fungus)
孟,Mèng,surname Meng
济南,Jǐnán,Jinan (capital of Shandong)
乌鲁木齐市,Wūlǔmùqí Shì,Urumqi (capital of Xinjiang)
码农,mǎnóng,programmer (slang)
的,de,possessive/attributive particle
秦始皇,Qín Shǐhuáng,Qin Shi Huang (first emperor of Qin)
人,rén,person; people
蒙特利尔,Méngtèlì'ěr,Montreal
什么,shénme,what
不客气,bú kèqi,you’re welcome; don’t mention it
星期,xīngqī,week; weekday
电话号码,diànhuà hàomǎ,telephone number
医生,yīshēng,doctor
贤,xián,virtuous; worthy
一下儿,yíxiàr,a bit; for a moment
小妹妹,xiǎomèimei,little sister; young girl
颜,Yán,surname Yan
潇,xiāo,deep and clear (literary); brisk
逸,yì,ease; leisure; escape
推拉,tuīlā,push and pull
阿,ā,prefix/particle used in names or address
好久不见,hǎojiǔ bújiàn,long time no see
人民币,rénmínbì,Renminbi (RMB)
话,huà,speech; word; talk
去,qù,go
洛阳,Luòyáng,Luoyang
肏,cào,fuck (vulgar)
痧子,shāzi,measles
苏,Sū,surname Su; also shorthand for Jiangsu
杨,Yáng,surname Yang
琪,Qí,fine jade; surname Qi
海洋,hǎiyáng,ocean; seas
洋,yáng,ocean; foreign
斯蒂芬,Sīdìfēn,Stephen
瑞,ruì,auspicious; jade token; surname Rui
杨斌,Yáng Bīn,Yang Bin (name)
姚滨,Yáo Bīn,Yao Bin (name)
电影明星,diànyǐng míngxīng,movie star
纯素食者,chúnsùshízhě,vegan
中庸之道,zhōngyōng zhī dào,Doctrine of the Mean; middle way
毛泽东思想,Máo Zédōng Sīxiǎng,Mao Zedong Thought
数,shù,number; count
平,Píng,surname Ping
和,hé,gentle; harmonious; and
情变,qíngbiàn,breakup; change in relationship
先,xiān,ancestor; former; first
崾岘,yǎoxiàn,Yaoxian (place name)
阴道炎,yīndàoyán,vaginitis
毛衣,máoyī,sweater
