中药,中藥,zhōng yào,traditional Chinese medicine,中药是许多人选择的自然疗法。,
串串香,串串香,chuàn chuàn xiāng,skewered hot pot,串串香是一种受欢迎的街头小吃。,
买完了,買完瞭,mǎi wán le,finished buying,我们已经买完了所有需要的东西。,
冰糖雪梨,冰糖雪梨,bīng táng xuě lí,rock sugar pear drink,冰糖雪梨是一种受欢迎的清凉饮品。,
凑凑火,湊湊火,còu còu huǒ,make do with a meal,今晚的晚饭只能凑凑火。,
南锣鼓巷,南鑼鼓巷,nán luó gǔ xiàng,historic alley in Beijing,南锣鼓巷是北京著名的旅游景点。,
发呆,發呆,fā dāi,to stare blankly; to be lost in thought,他常常在窗前发呆。,
呷哺呷哺,呷哺呷哺,xiā bǔ xiā bǔ,Xiabu Xiabu hot pot chain,呷哺呷哺是一个非常受欢迎的连锁火锅店。,
大栅栏,大柵欄,dà shí làn,historic commercial street in Beijing,大栅栏有很多老字号的店铺。,
存根盖不改老火锅,存根蓋不改老火鍋,cún gēn gài · bù gǎi lǎo huǒ guō,Cungen Gai Old Style Hot Pot,存根盖·不改老火锅是一个受欢迎的传统火锅品牌。,
孙子兵法,孫子兵法,Sūnzǐ Bīngfǎ,The Art of War by Sun Tzu,孙子兵法是一本著名的军事著作。,
岭南,嶺南,lǐng nán,Lingnan region,岭南地区拥有独特的文化和历史。,
春风手作,春風手作,chūn fēng shǒu zuò,Chun Feng handmade,春风手作提供精致的手工艺品。,
有位子吗,有位子嗎,yǒu wèi zi ma,Is there a seat available?,走进餐厅时，你可以问服务员：有位子吗？,
李旭婷,李旭婷,Lǐ Xùtíng,Chinese personal name,李旭婷是我的好朋友。,
松茸,鬆茸,sōng róng,matsutake mushroom,松茸是一种名贵的食用菌。,
油条,油條,yóu tiáo,fried dough stick,早餐常常配有油条和豆浆。,
海派,海派,hǎi pài,Shanghai style,他喜欢海派的生活方式。,
点茶,點茶,diǎn chá,traditional tea whisking method,点茶是一种古老而优雅的茶艺。,
秋葵,鞦葵,qiū kuí,okra,秋葵富含有益健康的营养成分。,
粉红玫瑰,粉紅玫瑰,fěn hóng méi guī,pink rose,她送给了我一束粉红玫瑰。,
粽子,粽子,zòng zi,rice dumpling,端午节时家家户户都会包粽子。,
网易,網易,Wǎng Yì,NetEase,网易是一家知名的互联网公司。,
茅台,茅颱,máo tái,Moutai liquor,茅台是中国顶级的白酒品牌之一。,
起床,起床,qǐ chuáng,to get out of bed; to wake up,每天早上七点我准时起床。,
酒单,酒單,jiǔ dān,drinks menu,请给我看看酒单。,
金竹果,金竹果,jīn zhú guǒ,jinzhu fruit,金竹果是一种罕见而美味的水果。,
鼓楼,鼓樓,gǔ lóu,drum tower,到北京旅游一定要去看看鼓楼。,
同城,同城,Wǔ Bā Tóngchéng,Chinese online classifieds platform,58同城是一个流行的分类信息网站。,
