Chinese,Pinyin,English
中药 / 中藥,zhōng yào,traditional Chinese medicine
串串香,chuàn chuàn xiāng,skewered hot pot
买完了 / 買完了,mǎi wán le,finished buying
冰糖雪梨,bīng táng xuě lí,rock sugar pear drink
凑凑火 / 湊湊火,còu còu huǒ,make do with a meal
南锣鼓巷 / 南鑼鼓巷,nán luó gǔ xiàng,historic alley in Beijing
发呆 / 發呆,fā dāi,to stare blankly; to be lost in thought
呷哺呷哺,xiā bǔ xiā bǔ,Xiabu Xiabu hot pot chain
大栅栏 / 大柵欄,dà shí làn,historic commercial street in Beijing
存根盖·不改老火锅 / 存根蓋·不改老火鍋,cún gēn gài · bù gǎi lǎo huǒ guō,Cungen Gai Old Style Hot Pot
孙子兵法 / 孫子兵法,Sūnzǐ Bīngfǎ,The Art of War by Sun Tzu
岭南 / 嶺南,lǐng nán,Lingnan region
春风手作 / 春風手作,chūn fēng shǒu zuò,Chun Feng handmade
有位子吗 / 有位子嗎,yǒu wèi zi ma,Is there a seat available?
李旭婷,Lǐ Xùtíng,Chinese personal name
松茸,sōng róng,matsutake mushroom
油条 / 油條,yóu tiáo,fried dough stick
海派,hǎi pài,Shanghai style
点茶 / 點茶,diǎn chá,traditional tea whisking method
秋葵,qiū kuí,okra
粉红玫瑰 / 粉紅玫瑰,fěn hóng méi guī,pink rose
粽子,zòng zi,rice dumpling
网易 / 網易,Wǎng Yì,NetEase
茅台 / 茅臺,máo tái,Moutai liquor
起床,qǐ chuáng,to get out of bed; to wake up
酒单 / 酒單,jiǔ dān,drinks menu
金竹果,jīn zhú guǒ,jinzhu fruit
鼓楼 / 鼓樓,gǔ lóu,drum tower
58同城,Wǔ Bā Tóngchéng,Chinese online classifieds platform
